Movie name,Movie rate,Description,Creators,Trailer link,More Info
The Human Centipede 3 (Final Sequence),3.738,"Taking inspiration from The Human Centipede films, the warden of a notorious and troubled prison looks to create a 500-person human centipede as a solution to his problems.",Tom Six,https://www.youtube.com/watch?v=Pijm_Cgc5g0,https://www.themoviedb.org/movie/94365
Wonka,7.058,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",Paul King,https://www.youtube.com/watch?v=wYmtRhKvmVE,https://www.themoviedb.org/movie/787699
Silenced,8.156,"Based on actual events that took place at Gwangju Inhwa School for the hearing-impaired, where young deaf students were the victims of repeated sexual assaults by faculty members over a period of five years in the early 2000s.",Hwang Dong-hyuk,https://www.youtube.com/watch?v=vOxlmwYmjws,https://www.themoviedb.org/movie/81481
Wonder Woman 1984,6.395,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,Patty Jenkins,https://www.youtube.com/watch?v=EMgbWouN4wE,https://www.themoviedb.org/movie/464052
Creed III,7.093,"After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.",Michael B. Jordan,https://www.youtube.com/watch?v=xTaIZo8OJYE,https://www.themoviedb.org/movie/677179
Barbie: A Fairy Secret,6.873,"Get ready for Barbie: A Fairy Secret, an amazing adventure with Barbie where she discovers there are fairies living secretly all around us! When Ken is suddenly whisked away by a group of fairies, Barbie's two fashion stylist friends reveal they are actually fairies and that Ken has been taken to a magical secret fairy world not far away! Barbie and her rival Raquelle take off with the fairy friends on an action-packed journey to bring him back. Along the way they must stick together and learn that the real magic lies not just in the fairy world itself, but in the power of friendship.","William Lau, Terry Klassen",https://www.youtube.com/watch?v=q_zib0eFQQE,https://www.themoviedb.org/movie/57737
Aliens vs Predator: Requiem,5.174,"After a horrifying PredAlien crash-lands near a small Colorado town, killing everyone it encounters and producing countless Alien offspring, a lone Predator arrives to ""clean up"" the infestation.","Colin Strause, Greg Strause",https://www.youtube.com/watch?v=XbTWLrZLYmU,https://www.themoviedb.org/movie/440
Canary Black,6.229,"Top level CIA agent Avery Graves is blackmailed by terrorists into betraying her own country to save her kidnapped husband. Cut off from her team, she turns to her underworld contacts to survive and help locate the coveted intelligence that the kidnappers want.",Pierre Morel,https://www.youtube.com/watch?v=tSaw2HTVSsA,https://www.themoviedb.org/movie/976734
A Nightmare on Elm Street,7.3,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",Wes Craven,https://www.youtube.com/watch?v=CBcVZcornjI,https://www.themoviedb.org/movie/377
Terrifier,6.3,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,Damien Leone,https://www.youtube.com/watch?v=fN5j1MtGO2Q,https://www.themoviedb.org/movie/420634
Taz: Quest for Burger,5.9,"After an outlaw abducts her father and steals her town’s food supply, a feisty adolescent bandicoot named Quinn recruits the Tasmanian Devil to help her find the thief. Taz may be an ill-tempered rogue with a fearsome reputation, but he and Quinn will have to work together to track the criminal through the wilds of Tasmania and save her community.",Ryan Kramer,https://www.youtube.com/watch?v=-cpZEYLfyTA,https://www.themoviedb.org/movie/1109207
Godzilla Minus One,7.587,"In postwar Japan, Godzilla brings new devastation to an already scorched landscape. With no military intervention or government help in sight, the survivors must join together in the face of despair and fight back against an unrelenting horror.",Takashi Yamazaki,https://www.youtube.com/watch?v=MSp68m8OJus,https://www.themoviedb.org/movie/940721
Beauty and the Beast,6.969,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,Bill Condon,https://www.youtube.com/watch?v=hYO2Ga4WDk4,https://www.themoviedb.org/movie/321612
Smile,6.666,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",Parker Finn,https://www.youtube.com/watch?v=-8d987Wtkxs,https://www.themoviedb.org/movie/882598
Jack Reacher,6.646,"One morning in an ordinary town, five people are shot dead in a seemingly random attack. All evidence points to a single suspect: an ex-military sniper who is quickly brought into custody. The interrogation yields one written note: 'Get Jack Reacher!'. Reacher, an enigmatic ex-Army investigator, believes the authorities have the right man but agrees to help the sniper's defense attorney. However, the more Reacher delves into the case, the less clear-cut it appears. So begins an extraordinary chase for the truth, pitting Jack Reacher against an unexpected enemy, with a skill for violence and a secret to keep.",Christopher McQuarrie,https://www.youtube.com/watch?v=kAbxn_F8lps,https://www.themoviedb.org/movie/75780
Christmas in the Spotlight,6.7,"A pop star named Bowyn hasn’t found Mr. Right, until she meets Drew, a professional football player, backstage at one of her shows. When Drew publicly declares he has a crush on Bowyn, they decide to give dating a shot. Their feelings grow stronger, but can it last in the limelight?",Michelle Ouellet,https://www.youtube.com/watch?v=NeIchZj1xPo,https://www.themoviedb.org/movie/1372028
The Endless,6.329,Two brothers return to the cult they fled from years ago to discover that the group's beliefs may be more sane than they once thought.,"Aaron Moorhead, Justin Benson",https://www.youtube.com/watch?v=_DTbx7c7ez8,https://www.themoviedb.org/movie/430231
The Northman,7.036,"Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.",Robert Eggers,https://www.youtube.com/watch?v=6WrpvCmv0hk,https://www.themoviedb.org/movie/639933
9 Songs,5.551,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",Michael Winterbottom,https://www.youtube.com/watch?v=N1HWcofsxJk,https://www.themoviedb.org/movie/27
The Usual Suspects,8.172,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",Bryan Singer,https://www.youtube.com/watch?v=jM3jrHGAsIE,https://www.themoviedb.org/movie/629
Romance,5.5,"Frustrated by the lack of intimacy in her relationship, a young schoolteacher goes through a series of intimidating and often violent sexual partners.",Catherine Breillat,https://www.youtube.com/watch?v=aq84LLLnHng,https://www.themoviedb.org/movie/26338
Erotic Ghost Story,6.213,"After one thousand years, three vixens transform into humans. They seduce a poor young scholar who soon finds himself in a horrifying situation.",Lam Nai-Choi,https://www.youtube.com/watch?v=g5YuUoJgBHA,https://www.themoviedb.org/movie/60898
The Craft: Legacy,6.126,An eclectic foursome of aspiring teenage witches get more than they bargained for as they lean into their newfound powers.,Zoe Lister-Jones,https://www.youtube.com/watch?v=J60ueFp-jv8,https://www.themoviedb.org/movie/590995
Wrong Turn,6.4,"Chris crashes into a carload of other young people, and the group of stranded motorists is soon lost in the woods of West Virginia, where they're hunted by three cannibalistic mountain men who are grossly disfigured by generations of inbreeding.",Rob Schmidt,https://www.youtube.com/watch?v=naUUyD-_oPc,https://www.themoviedb.org/movie/9902
Slaughter Hotel,4.9,A masked killer stalks an institution for mentally disturbed rich women.,Fernando Di Leo,https://www.youtube.com/watch?v=efpfrf_5J-Y,https://www.themoviedb.org/movie/27439
Stargate: Continuum,7.156,Ba'al travels back in time and prevents the Stargate program from being started. SG-1 must somehow restore history.,Martin Wood,https://www.youtube.com/watch?v=C4gNXCnHFsg,https://www.themoviedb.org/movie/12914
3 Days in Quiberon,6.407,"1981, Quiberon, a small village on the coast of Brittany, France. Hilde Fritsch arrives to visit her old friend who has retreated to a spa hotel to escape the daily pressures of her life. Her friend is world-famous star Romy Schneider, but together, they appear like two regular women who are just happy to be reunited. Yet it quickly becomes apparent that Hilde is supposed to offer the support the sensitive actress needs to be able to truly face her own demons.",Emily Atef,N/A,https://www.themoviedb.org/movie/495271
Molokai: The Story of Father Damien,6.0,"The true story of the 19th century Belgian priest, Father Damien, who volunteered to go to the island of Molokai, to console and care for the lepers.",Paul Cox,N/A,https://www.themoviedb.org/movie/21644
Sicario,7.416,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Denis Villeneuve,https://www.youtube.com/watch?v=Yfhu5JIxnZc,https://www.themoviedb.org/movie/273481
All the President's Men,7.7,"During the 1972 elections, two reporters' investigation sheds light on the controversial Watergate scandal that compels President Nixon to resign from his post.",Alan J. Pakula,https://www.youtube.com/watch?v=k5y8SW2KyTY,https://www.themoviedb.org/movie/891
Boogie,5.7,"Alfred “Boogie” Chin is a basketball phenom living in Queens, New York, who dreams of one day playing in the NBA. While his parents pressure him to focus on earning a scholarship to an elite college, Boogie must find a way to navigate a new girlfriend, high school, on-court rivals and the burden of expectation.",Eddie Huang,https://www.youtube.com/watch?v=xEpSdb_f1pE,https://www.themoviedb.org/movie/631058
A Silent Voice: The Movie,8.4,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",Naoko Yamada,https://www.youtube.com/watch?v=TQK9By9qQiw,https://www.themoviedb.org/movie/378064
Air,7.311,Discover the game-changing partnership between a then undiscovered Michael Jordan and Nike's fledgling basketball division which revolutionized the world of sports and culture with the Air Jordan brand.,Ben Affleck,https://www.youtube.com/watch?v=Euy4Yu6B3nU,https://www.themoviedb.org/movie/964980
What Lies Beneath,6.441,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",Robert Zemeckis,https://www.youtube.com/watch?v=s6nTJMdrGVU,https://www.themoviedb.org/movie/2655
Counterattack,8.296,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",Chava Cartas,https://www.youtube.com/watch?v=pEO34SeTsY0,https://www.themoviedb.org/movie/1356039
The Dirty Dozen: The Deadly Mission,5.1,"Learning of a Nazi plot to attack Washington, D.C. with a deadly nerve gas, Major Wright leads twelve convicts on a suicide mission deep into occupied France to destroy the secret factory where the poison is made.",Lee H. Katzin,https://www.youtube.com/watch?v=Phnmsi0TcVQ,https://www.themoviedb.org/movie/36572
Counterattack,8.296,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",Chava Cartas,https://www.youtube.com/watch?v=pEO34SeTsY0,https://www.themoviedb.org/movie/1356039
The Dirty Dozen: The Deadly Mission,5.1,"Learning of a Nazi plot to attack Washington, D.C. with a deadly nerve gas, Major Wright leads twelve convicts on a suicide mission deep into occupied France to destroy the secret factory where the poison is made.",Lee H. Katzin,https://www.youtube.com/watch?v=Phnmsi0TcVQ,https://www.themoviedb.org/movie/36572
Who Would Believe It?,10.0,"Nadine gets rid of the state of emptiness in which she lives, by meeting a fraudulent young man named Bassem, who offers her the kind of love and attention that she is missing. Nadine Bassem participates in fraud operations through which they get involved in many problems, which puts their love story and other matters at stake.",Zeina Abdel Baky,N/A,https://www.themoviedb.org/movie/1376999
Mission: Impossible - Fallout,7.443,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",Christopher McQuarrie,https://www.youtube.com/watch?v=MEOOas3JZt0,https://www.themoviedb.org/movie/353081
Eternal Sunshine of the Spotless Mind,8.092,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",Michel Gondry,https://www.youtube.com/watch?v=c2e-bj6qy8Y,https://www.themoviedb.org/movie/38
Fantasy Football Ruined Our Lives,5.688,"When a member of their fantasy football league vanishes on his wedding day, a motley group of friends recount the lead-up to his chaotic bachelor party.",Alessio Maria Federici,https://www.youtube.com/watch?v=u9RW6uhVr3s,https://www.themoviedb.org/movie/1500691
Symphony in Black: A Rhapsody of Negro Life,6.6,"A rising nineteen-year-old singer by the name of Billie Holiday made her screen debut in this musical landmark, which features Duke Ellington and his orchestra performing his symphonic jazz piece “A Rhapsody of Negro Life” set to scenes of everyday African American life.",Fred Waller,N/A,https://www.themoviedb.org/movie/197127
28 Years Later: The Bone Temple,0.0,Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,Nia DaCosta,https://www.youtube.com/watch?v=EOwTdTZA8D8,https://www.themoviedb.org/movie/1272837
Grounded: Making The Last of Us,7.5,"A feature-length exploration of the game's creation, and a love letter to the trials of exploring new territory. There are no road maps or guide books for creating a new world. The only way through is to fail—over and over again. This is the story of how a team of artists, musicians, programmers, writers, actors, filmmakers, playtesters, and a lonely UI designer—came together and pushed each other to build something larger than themselves.","Ryan O'Donnell, Cesar Quintero, Jeffrey Keith Negus, Matt Chandronait, Jason Bertrand",https://www.youtube.com/watch?v=FS_wpE6ObZs,https://www.themoviedb.org/movie/211707
The Porns,0.0,"In the near future, North Korea has established full diplomatic relations with the United States. The Lims, the family of the first North Korean ambassador to the United States, find their newfound freedoms difficult to comprehend, and for their teenage son - impossible to resist.",N/A,N/A,https://www.themoviedb.org/movie/915557
The Hunger Games,7.219,"In a dystopian society where the Capitol forces each district to send two young tributes to fight to the death in a televised spectacle, a girl volunteers to take her sister’s place, setting the stage for a struggle of survival and defiance.",Gary Ross,https://www.youtube.com/watch?v=qoUT7q2iTbQ,https://www.themoviedb.org/movie/70160
Between Maybes,3.2,"Amidst the silence and isolation, Hazel and Louie find comfort in each other as they both needed it at that certain point in their lives. But knowing how far apart their worlds are, they can only hold on to the belief that some encounters are special because of how fleeting they are.",Jason Paul Laxamana,https://www.youtube.com/watch?v=Nx2NrCNhsHM,https://www.themoviedb.org/movie/602473
Prey,7.677,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",Dan Trachtenberg,https://www.youtube.com/watch?v=wZ7LytagKlc,https://www.themoviedb.org/movie/766507
Scary Movie 2,5.809,"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue.",Keenen Ivory Wayans,https://www.youtube.com/watch?v=wsHCoKGxjLk,https://www.themoviedb.org/movie/4248
A Perfect Ending,6.264,"This intimate drama follows Rebecca, a woman who has kept her sexuality a secret from her friends but chooses to reveal it to a stranger. While Rebecca's revelations may not yield the results she expects, a perfect ending is still in reach.",Nicole Conn,N/A,https://www.themoviedb.org/movie/107257
Oh! Takarazuka,2.0,"Takarazuka is a gym teacher who wants to work in a girls high school in the worst way, and of course, for the worst reasons. He finally lands his dream job on a remote island with an overabundance of beautiful and nubile young girls. Can he win their hearts despite his hair trigger problem?",Kōyū Ohara,N/A,https://www.themoviedb.org/movie/726773
Godzilla Minus One,7.587,"In postwar Japan, Godzilla brings new devastation to an already scorched landscape. With no military intervention or government help in sight, the survivors must join together in the face of despair and fight back against an unrelenting horror.",Takashi Yamazaki,https://www.youtube.com/watch?v=MSp68m8OJus,https://www.themoviedb.org/movie/940721
Children of the Corn IV: The Gathering,4.373,A bright young medical student must solve the frightening mystery that plagues the children of a small Midwestern town.,Greg Spence,https://www.youtube.com/watch?v=ywnphO7d2xk,https://www.themoviedb.org/movie/25750
The Godfather Part III,7.417,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",Francis Ford Coppola,https://www.youtube.com/watch?v=qQR85-nGk2M,https://www.themoviedb.org/movie/242
Blade Runner,7.941,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",Ridley Scott,https://www.youtube.com/watch?v=qoEyZoOTtss,https://www.themoviedb.org/movie/78
A Clockwork Orange,8.185,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",Stanley Kubrick,https://www.youtube.com/watch?v=T54uZPI4Z8A,https://www.themoviedb.org/movie/185
Terrifier 2,6.708,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",Damien Leone,https://www.youtube.com/watch?v=x5DhuDSArTI,https://www.themoviedb.org/movie/663712
I Am Legend,7.211,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",Francis Lawrence,https://www.youtube.com/watch?v=4uDU6SUpr8k,https://www.themoviedb.org/movie/6479
Ruby Herring Mysteries: Her Last Breath,7.2,"Ruby and Detective Killian investigate a suspicious fatal car accident. With their yin and yang relationship, they solve the case, until Ruby finds new evidence that they may have it all wrong. Stars Taylor Cole and Stephen Huszar",Fred Gerber,https://www.youtube.com/watch?v=HVsq0dmAUsg,https://www.themoviedb.org/movie/620741
The Craft,6.789,"A Catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them -- be they teachers, rivals or meddlesome parents.",Andrew Fleming,https://www.youtube.com/watch?v=SxEqB--5ToI,https://www.themoviedb.org/movie/9100
Černá slečna slečna Černá,0.0,"Black comedy about three old friend, who rent a tomb.",Petr Nikolaev,N/A,https://www.themoviedb.org/movie/941609
H.G. Wells' War of the Worlds,5.2,"In this modern retelling of H.G. Wells' classic sci-fi horror, civilization is laid to ruin when a super race of aliens invades Earth. In a blink of an eye, massive ""walkers"" cover the planet, annihilating all in their path. As cities crumble and human flesh is ripped from the bone, one man struggles to find the one weapon that will turn the tide for mankind.",David Michael Latt,https://www.youtube.com/watch?v=XAYBjvdXlmk,https://www.themoviedb.org/movie/34812
Bedtime Stories,6.158,Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?,Adam Shankman,https://www.youtube.com/watch?v=e-6N1NZrQAQ,https://www.themoviedb.org/movie/10202
Superbad,7.258,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,Greg Mottola,https://www.youtube.com/watch?v=MuhWxdD0qno,https://www.themoviedb.org/movie/8363
Black Bag,6.343,"When intelligence agent Kathryn Woodhouse is suspected of betraying the nation, her husband – also a legendary agent – faces the ultimate test of whether to be loyal to his marriage, or his country.",Steven Soderbergh,https://www.youtube.com/watch?v=n_56L6WzLT8,https://www.themoviedb.org/movie/1233575
"Big Data, Big Brother",7.2,"The story of the cross destiny of George Orwell (1903-50) and Aldous Huxley (1894-1963), the genius authors of the two most groundbreaking novels of anticipation of the 20th century: 1984 and Brave New World; two lucid witnesses of the maledictions of the modern world whose novels have found a considerable echo with our time.","Caroline Benarrosh, Philippe Calderon",N/A,https://www.themoviedb.org/movie/752889
IF,7.037,"After discovering she can see everyone's imaginary friends, a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids.",John Krasinski,https://www.youtube.com/watch?v=TP47e3-nmw8,https://www.themoviedb.org/movie/639720
The Milky Way,7.1,"Two men, part tramp, part pilgrim, are on their way to Santiago de Compostela in Spain. On their way they meet a whole assortment of people—some truculent, some violent, and some bizarre; they experience many adventures—some mysterious, some erotic, some even supernatural.",Luis Buñuel,N/A,https://www.themoviedb.org/movie/35031
Best. Partee. Ever.,3.0,"Mikey, a young, discreet, gay man from the affluent class, spends five years in a city jail while hearing his case for drug pushing. Inside prison, Mikey holds back to adapt to the culture and stratification among inmates. Eventually, Mikey becomes a ‘Mayor’ (ring leader) to a group of gay inmates called “Gang-da”. Together, they thrive to survive the dangers of several gang riots, the mundane, and the decay of human dignity.",Howard Yambao,N/A,https://www.themoviedb.org/movie/420940
Nick Fury: Agent of S.H.I.E.L.D.,4.6,"Marvel's hard-boiled hero is brought back to fight the menace of Hydra after exiling himself in the Yukon since the end of the Cold War. The children of the former Hydra head, Baron Von Stucker, have taken charge of the terrorist organization. Under the lead of his vicious daughter, Viper, Hydra has seized a deadly virus and threatens the destruction of America.",Rod Hardy,https://www.youtube.com/watch?v=JNBRum247m0,https://www.themoviedb.org/movie/27460
Elyas,6.135,"Elyas, a former Special Forces soldier who has become paranoid since a mission in Afghanistan, is recruited to ensure the safety of Amina and her daughter Nour, 13 years old, both of whom came from the Middle East for the holidays. As he takes office, Elyas senses something is up.",Florent-Emilio Siri,N/A,https://www.themoviedb.org/movie/1154215
Dr. Goldfoot and the Bikini Machine,5.2,In this campy spy movie spoof Dr. Goldfoot (Vincent Price) has invented an army of bikini-clad robots who are programmed to seek out wealthy men and charm them into signing over their assets. Secret agent Craig Gamble (Frankie Avalon) and millionaire Todd Armstrong set out to foil his fiendish plot.,Norman Taurog,https://www.youtube.com/watch?v=jCMeEEm4dIA,https://www.themoviedb.org/movie/26573
Ice Age: Collision Course,6.1,"Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and locations.",Mike Thurmeier,https://www.youtube.com/watch?v=Ohq6NmKMja8,https://www.themoviedb.org/movie/278154
Before the Deluge,6.3,"The title of this French ""reality"" drama, which translates to Before the Deluge, is a play on Louis XVI's famous prognostication, ""Apres moi, le deluge."" Set in 1950, the film concentrates on five Parisian adolescents. Certain that the next war will herald the apocalypse, the youngster make plans to run off to a desert island and set up a new society. This, however, will require money, which is why the boys decide to pull off a ""necessary"" robbery. Idealism collapses in the face of cold reality, as the five youths suffer from the consequences of their actions. Avant le Deluge was one of a group of films cowritten by director Andre Cayatte and Charles Spaak which endeavored to explore the touchy social issues of the day: others in the Cayatte-Spaak canon include the euthanasia-themed Justice est Faite and the capital-punishment tract Nous sommes tous des assassins.",André Cayatte,N/A,https://www.themoviedb.org/movie/199431
All Ladies Do It,5.019,"After five years of marriage, Diana discovers the joys of adultery, claiming that she can save her failing relationship through betrayal.",Tinto Brass,N/A,https://www.themoviedb.org/movie/37265
Kino's Journey: Life Goes On,8.0,"In this prequel to the Kino no Tabi series, young Kino is being trained by her teacher. She learns how to ride her motorrad Hermes and develops her gift of excellent marksmanship. However, her guilt concerning the real Kino is with her when she decides to set off on a journey. All the while, Kino is becoming confused about her real identity.",Takashi Watanabe,N/A,https://www.themoviedb.org/movie/1173976
Home Alone 2: Lost in New York,6.8,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",Chris Columbus,https://www.youtube.com/watch?v=k0kJieJ1k6k,https://www.themoviedb.org/movie/772
Marked Woman,6.5,"In the underworld of Manhattan, a woman dares to stand up to one of the city's most powerful gangsters.",Lloyd Bacon,https://www.youtube.com/watch?v=P6nv4Qp4Lws,https://www.themoviedb.org/movie/25563
Tin Soldier,4.7,"An ex-special forces operative seeks revenge against a cult leader who has corrupted his former comrades, the Shinjas. This leader, known as The Bokushi, promises veterans a purpose and protection, but is revealed to be a destructive influence. The ex-soldier, Nash Cavanaugh, joins forces with military operative Emmanuel Ashburn to infiltrate the Bokushi's fortress and expose his reign of terror",Brad Furman,https://www.youtube.com/watch?v=8FK-KONeCks,https://www.themoviedb.org/movie/977294
The Girls Are Alright,6.286,"In the middle of summer, five women rehearse a play in an old mill, isolated from the world.",Itsaso Arana,https://www.youtube.com/watch?v=PjDT02Ap7_4,https://www.themoviedb.org/movie/1002711
Exhuma,7.542,"After tracing the origin of a disturbing supernatural affliction to a wealthy family's ancestral gravesite, a team of paranormal experts relocates the remains—and soon discovers what happens to those who dare to mess with the wrong grave.",Jang Jae-hyun,https://www.youtube.com/watch?v=j_6_wLF1pDg,https://www.themoviedb.org/movie/838209
The Wizard of Oz,7.592,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",Victor Fleming,https://www.youtube.com/watch?v=b_A2twyZevo,https://www.themoviedb.org/movie/630
Her,7.846,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",Spike Jonze,https://www.youtube.com/watch?v=ne6p6MfLBxc,https://www.themoviedb.org/movie/152601
Frivolous Lola,5.152,"In 1950s northern Italy, a woman tests her fiancé's love and passion by trying to break his commitment to premarital chastity.",Tinto Brass,N/A,https://www.themoviedb.org/movie/50124
My Nightmare Landlord,6.0,"Lydia moves into a new apartment after breaking up with her long-term boyfriend, finding herself more and more isolated as her apartment manager Drew becomes obsessed with her. Caroline Harris, Ignacyo Matynia , Sinéad D'arcy and Spencer Belko Star. (2020)",Dylan Vox,N/A,https://www.themoviedb.org/movie/682583
Subservience,6.659,"With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",SK Dale,https://www.youtube.com/watch?v=z6DLdqf0Bs0,https://www.themoviedb.org/movie/1064028
Demon Slayer: Kimetsu no Yaiba - Entertainment District Decisive Battle Arc,8.7,"After facing many dangers in the brothel town, Tanjiro, Zenitsu and Inosuke, along with the Flame Pillar Tengen Uzui, enter a deadly battle with the Upper Moon Six pair – Daki and Gyutaro. The fierce confrontation not only shows the strength of teamwork but also highlights the spirit of sacrifice of the Pillars. This is one of the most epic and emotional battles in the entire series.",Haruo Sotozaki,N/A,https://www.themoviedb.org/movie/1490213
The3Tails: A Mermaid Adventure,6.5,"Emily, Selena and Jackie - known to their 50 thousand YouTube fans as The 3 Tails - finally bring their journey to the big screen. Their mermaid adventures have enchanted fans for more than five years, as the girls struggle to understand the meaning of their special gift, protecting their secret from the world. Even their parents don't know that they have the ability to transform into mermaids. In The 3 Tails: A Mermaid Adventure, their lives are threatened after a stranger learns of their abilities and kidnaps one of the girls in order to harness her DNA. During a perilous ocean rescue mission, they discover that mermaids are not the only endangered species in the sea.","Andrés Garretón, Meredith Scott Lynn",https://www.youtube.com/watch?v=1UTa16Z7K9I,https://www.themoviedb.org/movie/404851
