Tên xe,Giá,Nam s?n xu?t,Ki?u dáng,Tình tr?ng,Xu?t x?,S? km dã di,T?nh thành,H?p s?,Nhiên li?u
Nissan Almera CVT Cao c?p 2022,440000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 53.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Nâng Cao 2020,295000000,Nam SX 2020,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 28.000 km,"T?nh thành
Long An",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG 5 1.5L Luxury 2022,375000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 35.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai i20 1.4 AT 2012,226000000,Nam SX 2012,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 91.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Everest Platinum 2.0L 4x4 AT 2020,900000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 85.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia Morning Si 1.25 MT 2018,225000000,Nam SX 2018,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? sàn,Nhiên li?u Máy xang
Mazda CX-5 2.0 Deluxe 2021,635000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 52.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Kona 2.0 AT Tiêu chu?n 2020,465000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 58.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Tiêu Chu?n 2021,289000000,Nam SX 2021,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 72.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Chevrolet Colorado LTZ 2.8 AT 4x4 2017,390000000,Nam SX 2017,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 130.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Ford Focus 1.8L 2011,220000000,Nam SX 2011,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 125.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sedona 3.3 Platinum G 2019,698000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Subaru Outback 2.5i-T EyeSight 2022,1350000000,Nam SX 2022,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 16.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.5L AT 2021,445000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 55.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Porsche Cayenne 3.6 V6 2014,1200000000,Nam SX 2014,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 88.888 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Nissan Almera CVT Cao c?p 2022,440000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 53.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Nâng Cao 2020,295000000,Nam SX 2020,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 28.000 km,"T?nh thành
Long An",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG 5 1.5L Luxury 2022,375000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 35.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai i20 1.4 AT 2012,226000000,Nam SX 2012,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 91.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Everest Platinum 2.0L 4x4 AT 2020,900000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 85.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia Morning Si 1.25 MT 2018,225000000,Nam SX 2018,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? sàn,Nhiên li?u Máy xang
Mazda CX-5 2.0 Deluxe 2021,635000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 52.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Kona 2.0 AT Tiêu chu?n 2020,465000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 58.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Tiêu Chu?n 2021,289000000,Nam SX 2021,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 72.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Chevrolet Colorado LTZ 2.8 AT 4x4 2017,390000000,Nam SX 2017,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 130.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Ford Focus 1.8L 2011,220000000,Nam SX 2011,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 125.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sedona 3.3 Platinum G 2019,698000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Subaru Outback 2.5i-T EyeSight 2022,1350000000,Nam SX 2022,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 16.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.5L AT 2021,445000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 55.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Porsche Cayenne 3.6 V6 2014,1200000000,Nam SX 2014,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 88.888 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Nissan Almera CVT Cao c?p 2022,440000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 53.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Nâng Cao 2020,295000000,Nam SX 2020,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 28.000 km,"T?nh thành
Long An",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG 5 1.5L Luxury 2022,375000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 35.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai i20 1.4 AT 2012,226000000,Nam SX 2012,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 91.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Everest Platinum 2.0L 4x4 AT 2020,900000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 85.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia Morning Si 1.25 MT 2018,225000000,Nam SX 2018,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? sàn,Nhiên li?u Máy xang
Mazda CX-5 2.0 Deluxe 2021,635000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 52.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Kona 2.0 AT Tiêu chu?n 2020,465000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 58.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Tiêu Chu?n 2021,289000000,Nam SX 2021,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 72.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Chevrolet Colorado LTZ 2.8 AT 4x4 2017,390000000,Nam SX 2017,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 130.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Ford Focus 1.8L 2011,220000000,Nam SX 2011,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 125.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sedona 3.3 Platinum G 2019,698000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Subaru Outback 2.5i-T EyeSight 2022,1350000000,Nam SX 2022,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 16.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.5L AT 2021,445000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 55.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Porsche Cayenne 3.6 V6 2014,1200000000,Nam SX 2014,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 88.888 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Nissan Almera CVT Cao c?p 2022,440000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 53.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Nâng Cao 2020,295000000,Nam SX 2020,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 28.000 km,"T?nh thành
Long An",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG 5 1.5L Luxury 2022,375000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 35.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai i20 1.4 AT 2012,226000000,Nam SX 2012,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 91.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Everest Platinum 2.0L 4x4 AT 2020,900000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 85.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia Morning Si 1.25 MT 2018,225000000,Nam SX 2018,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? sàn,Nhiên li?u Máy xang
Mazda CX-5 2.0 Deluxe 2021,635000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 52.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Kona 2.0 AT Tiêu chu?n 2020,465000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 58.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Tiêu Chu?n 2021,289000000,Nam SX 2021,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 72.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Chevrolet Colorado LTZ 2.8 AT 4x4 2017,390000000,Nam SX 2017,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 130.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Ford Focus 1.8L 2011,220000000,Nam SX 2011,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 125.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sedona 3.3 Platinum G 2019,698000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Subaru Outback 2.5i-T EyeSight 2022,1350000000,Nam SX 2022,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 16.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.5L AT 2021,445000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 55.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Porsche Cayenne 3.6 V6 2014,1200000000,Nam SX 2014,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 88.888 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Nissan Almera CVT Cao c?p 2022,440000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 53.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Nâng Cao 2020,295000000,Nam SX 2020,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 28.000 km,"T?nh thành
Long An",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG 5 1.5L Luxury 2022,375000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 35.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai i20 1.4 AT 2012,226000000,Nam SX 2012,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 91.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Everest Platinum 2.0L 4x4 AT 2020,900000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 85.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia Morning Si 1.25 MT 2018,225000000,Nam SX 2018,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? sàn,Nhiên li?u Máy xang
Mazda CX-5 2.0 Deluxe 2021,635000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 52.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Kona 2.0 AT Tiêu chu?n 2020,465000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 58.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Tiêu Chu?n 2021,289000000,Nam SX 2021,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 72.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Chevrolet Colorado LTZ 2.8 AT 4x4 2017,390000000,Nam SX 2017,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 130.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Ford Focus 1.8L 2011,220000000,Nam SX 2011,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 125.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sedona 3.3 Platinum G 2019,698000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Subaru Outback 2.5i-T EyeSight 2022,1350000000,Nam SX 2022,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 16.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.5L AT 2021,445000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 55.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Porsche Cayenne 3.6 V6 2014,1200000000,Nam SX 2014,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 88.888 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Nissan Almera CVT Cao c?p 2022,440000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 53.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Nâng Cao 2020,295000000,Nam SX 2020,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 28.000 km,"T?nh thành
Long An",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG 5 1.5L Luxury 2022,375000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 35.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai i20 1.4 AT 2012,226000000,Nam SX 2012,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 91.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Everest Platinum 2.0L 4x4 AT 2020,900000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 85.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia Morning Si 1.25 MT 2018,225000000,Nam SX 2018,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? sàn,Nhiên li?u Máy xang
Mazda CX-5 2.0 Deluxe 2021,635000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 52.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Kona 2.0 AT Tiêu chu?n 2020,465000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 58.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Tiêu Chu?n 2021,289000000,Nam SX 2021,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 72.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Chevrolet Colorado LTZ 2.8 AT 4x4 2017,390000000,Nam SX 2017,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 130.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Ford Focus 1.8L 2011,220000000,Nam SX 2011,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 125.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sedona 3.3 Platinum G 2019,698000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Subaru Outback 2.5i-T EyeSight 2022,1350000000,Nam SX 2022,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 16.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.5L AT 2021,445000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 55.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Porsche Cayenne 3.6 V6 2014,1200000000,Nam SX 2014,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 88.888 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Nissan Almera CVT Cao c?p 2022,440000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 53.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Nâng Cao 2020,295000000,Nam SX 2020,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 28.000 km,"T?nh thành
Long An",H?p s? S? t? d?ng,Nhiên li?u Máy xang
MG 5 1.5L Luxury 2022,375000000,Nam SX 2022,Ki?u dáng Sedan,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 35.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai i20 1.4 AT 2012,226000000,Nam SX 2012,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 91.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford Everest Platinum 2.0L 4x4 AT 2020,900000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 85.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Kia Morning Si 1.25 MT 2018,225000000,Nam SX 2018,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 80.000 km,"T?nh thành
Lâm Ð?ng",H?p s? S? sàn,Nhiên li?u Máy xang
Mazda CX-5 2.0 Deluxe 2021,635000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 52.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Hyundai Kona 2.0 AT Tiêu chu?n 2020,465000000,Nam SX 2020,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 58.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
VinFast Fadil Tiêu Chu?n 2021,289000000,Nam SX 2021,,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 72.000 km,"T?nh thành
H?i Phòng",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Chevrolet Colorado LTZ 2.8 AT 4x4 2017,390000000,Nam SX 2017,Ki?u dáng Bán t?i,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 130.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy d?u
Ford Focus 1.8L 2011,220000000,Nam SX 2011,Ki?u dáng Hatchback,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 125.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Kia Sedona 3.3 Platinum G 2019,698000000,Nam SX 2019,Ki?u dáng MPV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 60.000 km,"T?nh thành
Tp.HCM",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Subaru Outback 2.5i-T EyeSight 2022,1350000000,Nam SX 2022,Ki?u dáng Crossover,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 16.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Ford EcoSport Titanium 1.5L AT 2021,445000000,Nam SX 2021,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Trong nu?c,Km dã di 55.000 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
Porsche Cayenne 3.6 V6 2014,1200000000,Nam SX 2014,Ki?u dáng SUV,Tình tr?ng Xe cu,Xu?t x? Nh?p kh?u,Km dã di 88.888 km,"T?nh thành
Hà N?i",H?p s? S? t? d?ng,Nhiên li?u Máy xang
